dimension,metric_id,metric,score,message,metric_description,metric_type,metric_calculation,meta_metric_calculation,shape_name,shape_template,violations,violation_text,num_violations,vocab
Consistency,CN9,Correct domain and range definition,0.375,10 are used with incorrect range,Verifies that properties are used with the correct range.,count,1 - (Number of violations / Number of entities that use the property),Number of properties used with a correct range / Number of properties with a defined range,CorrectRangeShape,ex:CorrectRangeShape\na sh:NodeShape ;\nsh:targetSubjectsOf PROPERTY_URI;\nsh:property [\nsh:path PROPERTY_URI;\nsh:datatype DATATYPE; % or sh:class CLASS\n].\n\nex:CorrectRangeShape\na sh:NodeShape ;\nsh:targetSubjectsOf PROPERTY_URI;\nsh:property [\nsh:path PROPERTY_URI;\nsh:nodeKind sh:BlankNodeOrIRI;\n].\n\nex:CorrectRangeShape\na sh:NodeShape ;\nsh:targetSubjectsOf PROPERTY_URI;\nsh:property [\nsh:path PROPERTY_URI;\nsh:nodeKind sh:Literal;\n].\n\nex:CorrectRangeShape\na sh:NodeShape ;\nsh:targetSubjectsOf PROPERTY_URI;\nsh:property [\nsh:path PROPERTY_URI;\nsh:or (\n[ sh:nodeKind sh:BlankNodeOrIri; ]\n[ sh:nodeKind sh:Literal; ]\n);\n].,"(http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping,0.5); (http://www.co-ode.org/ontologies/pizza/pizza.owl#madeIn,0.5); (http://www.co-ode.org/ontologies/pizza/pizza.owl#isDifferentFrom,0.5); (http://www.co-ode.org/ontologies/pizza/pizza.owl#cookedDate,0.5); (http://www.co-ode.org/ontologies/pizza/pizza.owl#madeBy,0.0); (http://www.co-ode.org/ontologies/pizza/pizza.owl#spicinessLevel,0.16666666666666663); (http://www.co-ode.org/ontologies/pizza/pizza.owl#hasFloatScore,0.5); (http://www.co-ode.org/ontologies/pizza/pizza.owl#bakedAt,0.33333333333333337); (http://www.co-ode.org/ontologies/pizza/pizza.owl#bakingYear,0.5); (http://www.co-ode.org/ontologies/pizza/pizza.owl#literalProperty,0.0)","(property, individual score)",10,
Consistency,CN9,Correct domain and range definition.,0.8125,3 properties are used with incorrect domains,Verifies that properties are used with the correct domain.,count,1 - (Number of violations / Number of entities that use the property),Number of properties used with their correct domain / Number of properties with a defined domain,CorrectDomainShape,ex:CorrectDomainShape\na sh:NodeShape ;\nsh:targetSubjectsOf PROPERTY_URI;\nsh:class CLASS.\n\nex:CorrectDomainShape\na sh:NodeShape ;\nsh:targetSubjectsOf PROPERTY_URI;\nsh:nodeKind sh:BlankNodeOrIRI.,"(http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping,0.6666666666666667); (http://www.co-ode.org/ontologies/pizza/pizza.owl#isDifferentFrom,0.75); (http://www.co-ode.org/ontologies/pizza/pizza.owl#bakedAt,0.6666666666666667)","(property, individual score)",3,
Consistency,CN1,No use of entities as members of disjoint classes,0.0,4 classes have instances of disjoint classes,Verifies there are no entities that are members of disjoint classes.,count,1 - (Number of violations / Number of entities of the target class),Number of classes with no member as instance of a disjoint class / Number of disjoint classes,EntitiesDisjointClassesShape,ex:EntitiesDisjointClassesShape\n\ta sh:NodeShape ;\n\tsh:targetClass CLASS_URI;\n\tsh:not [ sh:class DISJOINT_CLASS_URI].,"(http://www.co-ode.org/ontologies/pizza/pizza.owl#NonVegetarianPizza,http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetarianPizza,0.0); (http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetarianPizza,http://www.co-ode.org/ontologies/pizza/pizza.owl#NonVegetarianPizza,0.0)","(disjoint class, individual score)",2,
Consistency,CN10,No inconsistent values,0.0,1 properties don't conform to their irreflexive characteristic,Verifies the correct usage of irreflexive properties.,count,1 - (Number of violations / Number of subjects that use the property),Number of irreflexive properties correctly used / Number of irreflexive properties,IrreflexivePropertyShape,ex:IrreflexivePropertyShape\n\ta sh:NodeShape ;\n\tsh:targetSubjectsOf PROPERTY_URI;\n\tsh:disjoint PROPERTY_URI.,"(http://www.co-ode.org/ontologies/pizza/pizza.owl#isDifferentFrom,0.25)","(irreflexive property, individual score)",1,
Interpretability,ITP1,Use of self-descriptive formats,0.28125,23 properties use at least one literal or blank node,Verifies if properties use IRIs as values,count,"1 if the property uses IRIs as values, 0 otherwise.",Number of properties that have IRIs as values / Number of properties used in the dataset,SelfDescriptiveFormatPropertiesShape,ex:SelfDescriptiveFormatPropertiesShape\na sh:NodeShape ;\nsh:targetObjectsOf PROPERTY_URI;\nsh:nodeKind sh:IRI.,http://www.co-ode.org/ontologies/pizza/pizza.owl#cookedDate; http://www.co-ode.org/ontologies/pizza/pizza.owl#undefinedToppingProperty; http://www.co-ode.org/ontologies/pizza/pizza.owl#thingDomainProperty; http://www.w3.org/2000/01/rdf-schema#label; http://www.co-ode.org/ontologies/pizza/pizza.owl#bakingMonth; http://www.co-ode.org/ontologies/pizza/pizza.owl#spicinessLevel; http://www.co-ode.org/ontologies/pizza/pizza.owl#madeIn; http://www.co-ode.org/ontologies/pizza/pizza.owl#hasFloatScore; http://www.co-ode.org/ontologies/pizza/pizza.owl#Store; http://www.co-ode.org/ontologies/pizza/pizza.owl#literalProperty; http://www.co-ode.org/ontologies/pizza/pizza.owl#price; http://www.w3.org/2000/01/rdf-schema#comment; http://www.co-ode.org/ontologies/pizza/pizza.owl#bakedAt; http://www.co-ode.org/ontologies/pizza/pizza.owl#oldProperty; http://www.co-ode.org/ontologies/pizza/pizza.owl#bakingYear; http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#madeBy; http://xmlns.com/foaf/0.1/name; http://www.co-ode.org/ontologies/pizza/pizza.owl#NonVegetarianPizza; http://www.co-ode.org/ontologies/pizza/pizza.owl#resourceProperty; http://www.co-ode.org/ontologies/pizza/pizza.owl#bakingDay; http://www.co-ode.org/ontologies/pizza/pizza.owl#hasDoubleRating; http://www.co-ode.org/ontologies/pizza/pizza.owl#isVegetarian,properties used with blank nodes or literals,23,
Consistency,CN3,No misuse of owl:DatatypeProperty or owl:ObjectProperty,0.5,3 object properties are used with literals or blank nodes,Verifies that owl:ObjectProperty aren't used with Literals,count,1 - (Number of violations / Number of entities that use the property),Number of owl:ObjectProperty correctly used / Number of owl:ObjectProperty used in the dataset,MisuseOwlObjectPropertiesShape,ex:MisuseObjectPropertiesShape\n\ta sh:NodeShape ;\n\tsh:targetSubjectsOf PROPERTY_URI;\n\tsh:property [\n\t\tsh:path PROPERTY_URI;\n\t\tsh:nodeKind sh:BlankNodeOrIRI;\n\t].,"(http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping,0.8333333333333334); (http://www.co-ode.org/ontologies/pizza/pizza.owl#madeIn,0.5); (http://www.co-ode.org/ontologies/pizza/pizza.owl#thingDomainProperty,0.0)","(object property, individual score)",3,
Consistency,CN3,No misuse of owl:DatatypeProperty or owl:ObjectProperty,0.7,3 datatype properties are used with IRIs,Verifies that owl:DatatypeProperty are used with Literals,count,1 - (Number of violations / Number of entities that use the property),Number of owl:DatatypeProperty correctly used / Number of owl:DatatypeProperty used in the,MisuseOwlDatatypePropertiesShape,ex:MisuseDatatypePropertiesShape\n\ta sh:NodeShape ;\n\tsh:targetSubjectsOf PROPERTY_URI;\n\tsh:property [\n\tsh:path PROPERTY_URI;\n\tsh:nodeKind sh:Literal;\n\t].,"(http://www.co-ode.org/ontologies/pizza/pizza.owl#madeBy,0.0); (http://www.co-ode.org/ontologies/pizza/pizza.owl#spicinessLevel,0.8333333333333334); (http://www.co-ode.org/ontologies/pizza/pizza.owl#literalProperty,0.0)","(datatype property, individual score)",3,
Consistency,CN10,No inconsistent values,0.0,2 properties don't conform to their functional characteristic,Verifies the correct usage of functional properties.,count,1 - (Number of violations / Number of entities that use the property),Number of functional properties correctly used / Number of functional properties,FunctionalPropertyShape,ex:FunctionalPropertyShape\n\ta sh:NodeShape ;\n\tsh:targetSubjectsOf PROPERTY_URI;\n\tsh:property [\n\t\tsh:path PROPERTY_URI;\n\t\tsh:maxCount 1;\n\t].,"(http://www.co-ode.org/ontologies/pizza/pizza.owl#cookedDate,0.5); (http://www.co-ode.org/ontologies/pizza/pizza.owl#madeIn,0.5)","(functional property, individual score)",2,
Completeness,CP1,Schema completeness,0.0594059405940594,95 classes aren't used in the dataset,Verifies that classes defined in vocabularies are used in the dataset.,binary,"1 if the class is used, 0 otherwise",Number of classes used from the vocabularies / Number of classes defined in vocabularies,SchemaCompletenessClassUsageShape,ex:NotNamedIndividualShape\n\ta sh:NodeShape;\n\tsh:property [\n\t\tsh:path rdf:type ;\n\t\tsh:not [ sh:hasValue owl:NamedIndividual ] ;\n\t].\nex:SchemaCompletenessClassUsageShape\n\ta sh:NodeShape ;\n\tsh:targetNode CLASS_URI ;\n\tsh:property [\n\t\tsh:path [ sh:inversePath rdf:type ] ;\n\t\tsh:minCount 1 ;\n\t\tsh:qualifiedValueShape [\n\t\t\tsh:node ex:NotNamedIndividualShape ;\n\t\t];\n\t\tsh:qualifiedMinCount 1 ;\n\t].,http://www.co-ode.org/ontologies/pizza/pizza.owl#American; http://www.co-ode.org/ontologies/pizza/pizza.owl#AmericanHot; http://www.co-ode.org/ontologies/pizza/pizza.owl#AnchoviesTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#ArtichokeTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#AsparagusTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#Cajun; http://www.co-ode.org/ontologies/pizza/pizza.owl#CajunSpiceTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#CaperTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#Capricciosa; http://www.co-ode.org/ontologies/pizza/pizza.owl#Caprina; http://www.co-ode.org/ontologies/pizza/pizza.owl#CheeseyPizza; http://www.co-ode.org/ontologies/pizza/pizza.owl#CheeseyVegetableTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#ChickenTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#Country; http://www.co-ode.org/ontologies/pizza/pizza.owl#DeepPanBase; http://www.co-ode.org/ontologies/pizza/pizza.owl#DomainConcept; http://www.co-ode.org/ontologies/pizza/pizza.owl#Fiorentina; http://www.co-ode.org/ontologies/pizza/pizza.owl#FishTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#Food; http://www.co-ode.org/ontologies/pizza/pizza.owl#FourCheesesTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#FourSeasons; http://www.co-ode.org/ontologies/pizza/pizza.owl#FruitTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#FruttiDiMare; http://www.co-ode.org/ontologies/pizza/pizza.owl#GarlicTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#Giardiniera; http://www.co-ode.org/ontologies/pizza/pizza.owl#GoatsCheeseTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#GorgonzolaTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#GreenPepperTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#HamTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#HerbSpiceTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#Hot; http://www.co-ode.org/ontologies/pizza/pizza.owl#HotGreenPepperTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#HotSpicedBeefTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#IceCream; http://www.co-ode.org/ontologies/pizza/pizza.owl#InterestingPizza; http://www.co-ode.org/ontologies/pizza/pizza.owl#JalapenoPepperTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#LaReine; http://www.co-ode.org/ontologies/pizza/pizza.owl#LeekTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#Margherita; http://www.co-ode.org/ontologies/pizza/pizza.owl#MeatTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#MeatyPizza; http://www.co-ode.org/ontologies/pizza/pizza.owl#Medium; http://www.co-ode.org/ontologies/pizza/pizza.owl#Mild; http://www.co-ode.org/ontologies/pizza/pizza.owl#MixedSeafoodTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#MozzarellaTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#Mushroom; http://www.co-ode.org/ontologies/pizza/pizza.owl#MushroomTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#NamedPizza; http://www.co-ode.org/ontologies/pizza/pizza.owl#Napoletana; http://www.co-ode.org/ontologies/pizza/pizza.owl#NutTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#OliveTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#OnionTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#ParmaHamTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#Parmense; http://www.co-ode.org/ontologies/pizza/pizza.owl#ParmesanTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#PeperonataTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#PeperoniSausageTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#PepperTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#PetitPoisTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#PineKernels; http://www.co-ode.org/ontologies/pizza/pizza.owl#PizzaBase; http://www.co-ode.org/ontologies/pizza/pizza.owl#PizzaTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#PolloAdAstra; http://www.co-ode.org/ontologies/pizza/pizza.owl#PrawnsTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#PrinceCarlo; http://www.co-ode.org/ontologies/pizza/pizza.owl#QuattroFormaggi; http://www.co-ode.org/ontologies/pizza/pizza.owl#RealItalianPizza; http://www.co-ode.org/ontologies/pizza/pizza.owl#RedOnionTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#RocketTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#Rosa; http://www.co-ode.org/ontologies/pizza/pizza.owl#RosemaryTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#SauceTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#Siciliana; http://www.co-ode.org/ontologies/pizza/pizza.owl#SlicedTomatoTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#SloppyGiuseppe; http://www.co-ode.org/ontologies/pizza/pizza.owl#Soho; http://www.co-ode.org/ontologies/pizza/pizza.owl#Spiciness; http://www.co-ode.org/ontologies/pizza/pizza.owl#SpicyPizza; http://www.co-ode.org/ontologies/pizza/pizza.owl#SpicyPizzaEquivalent; http://www.co-ode.org/ontologies/pizza/pizza.owl#SpicyTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#SpinachTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#SultanaTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#SundriedTomatoTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#SweetPepperTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#ThinAndCrispyBase; http://www.co-ode.org/ontologies/pizza/pizza.owl#ThinAndCrispyPizza; http://www.co-ode.org/ontologies/pizza/pizza.owl#TobascoPepperSauce; http://www.co-ode.org/ontologies/pizza/pizza.owl#UnclosedPizza; http://www.co-ode.org/ontologies/pizza/pizza.owl#ValuePartition; http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetableTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetarianPizzaEquivalent1; http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetarianPizzaEquivalent2; http://www.co-ode.org/ontologies/pizza/pizza.owl#VegetarianTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#Veneziana; http://www.co-ode.org/ontologies/pizza/pizza.owl#AuxClassNoLabel,classes defined in the vocabulary that are not used in the dataset,95,
Syntactic Validity,SV3,No malformed datatype literals,0.3,7 properties are used with malformed datatype values,Verifies that datatype property's values follow the expected lexical syntax of the datatype or that it isn't an ill-typed literal.,count,1 - (Number of violations / Number of entities that use the property),Number of correctly used properties / Number of properties with a datatype range,MalformedDatatypeShape,ex:MalformedLiteralShape\n\ta sh:NodeShape ;\n\tsh:targetSubjectsOf PROPERTY_URI;\n\tsh:property [\n\tsh:path PROPERTY_URI ;\n\tsh:datatype DATATYPE_URI;\n\t].,"(http://www.co-ode.org/ontologies/pizza/pizza.owl#cookedDate,0.5); (http://www.co-ode.org/ontologies/pizza/pizza.owl#madeBy,0.0); (http://www.co-ode.org/ontologies/pizza/pizza.owl#spicinessLevel,0.16666666666666663); (http://www.co-ode.org/ontologies/pizza/pizza.owl#hasFloatScore,0.5); (http://www.co-ode.org/ontologies/pizza/pizza.owl#bakedAt,0.33333333333333337); (http://www.co-ode.org/ontologies/pizza/pizza.owl#bakingYear,0.5); (http://www.co-ode.org/ontologies/pizza/pizza.owl#literalProperty,0.0)","(property used with a malformed literal, individual score)",7,
Consistency,CN4,Members of owl:DeprecatedClass or owl:DeprecatedProperty not used,0.0,1 deprecated properties are used in the dataset,Verifies that deprecated properties aren't used,count,1 - (Number of violations / Number of entities),Number of unused deprecated properties / Number of deprecated properties,DeprecatedPropertiesShape,ex:DeprecatedPropertiesUsageShape\n\ta sh:NodeShape ;\n\tsh:targetSubjectsOf rdf:type;\n\tsh:or (\n\t\t[sh:path rdf:type; sh:hasValue rdfs:Class;]\n\t\t[sh:path rdf:type; sh:hasValue rdf:Property;]\n\t\t[sh:path rdf:type; sh:hasValue owl:\n\t\tNamedIndividual;]\n\t\t[ sh:path PROPERTY_URI; sh:maxCount 0; ]\n\t).,"(http://www.co-ode.org/ontologies/pizza/pizza.owl#oldToppingProperty,0.9565217391304348)","(deprecated property, individual score)",1,
Understandability,U1,"Human-readable labelling of classes, properties and entities as well as presence of metadata",0.6802721088435374,Classes should contain a label,Human readable labels in classes,count,1 - (Number of violations / Number of classes),,LabelForClasses,ex:LabelForClassesShape\n\ta sh:NodeShape;\n\tsh:targetClass rdfs:Class;\n\tsh:property [\n\t\tsh:path rdfs:label; sh:minCount 1;\n\t].,N9e4dc76b3a56440fa9b9fb46d3b970f4; N5d3b5fec60504b8eb87823989da2c4bb; http://www.co-ode.org/ontologies/pizza/pizza.owl#AuxClassNoLabel; N39e58e143904447ab80b1a916490818e; Nb04b4f8622364693b003f953ea61c982; N486cc9cf16d640b38899ab7e229299ba; Na65ea26a409e43efad24fb7db662e796; N91c3e81c15904220897246fec2d3092d; Nf6cb2f251d794c71b7078a9edc2d76ba; Nddf305331442423497ca46374f9db35a; N72e64b5d400e404c87f692927b428a19; N1e7e062ec00b4254bd202f9814fecb8b; N0969c97ad22349bbb1a710ea941466a3; N5c15a52fe4fd450c944c8c03b2c5d12a; Nd4551832388747718bfa91a0de08ce66; Ne673a3687553468b98887d4e9b89d84b; Ndff6880285604e5ab58ef66e4524662a; Nef2ac1c8bd554b41b7c7396c83a58043; Nd2ec44ad62c4475590b14ccf3bfec937; Nbac8cc992f9741d4b867efda34ec0100; Nd3b846c384fb40068a9047a1d535e06e; N1df04bc86a214edd8ae542b9a2bfda60; N5934557e54704c398716ad62e65a0eb4; N8f13c26e36294f27badfeb85e6c28f90; N49621f077c974dd7a7a03714bd1e0c51; http://www.co-ode.org/ontologies/pizza/pizza.owl#PizzaDeprecated; N65eec0d5afa54d75b0af93ad76c8a34f; N77149993c1d44d4fa487e7ac7beadc98; N446dd364fcb8479da77dd710df4612af; N50e8bd5c243d46c499af39fcfa78b1be; N7a5ac0a122bf40f7a4b1b725398bb231; N1d2be68c14ee4584b63c2d4cd99f0e38; N985b32c6faa2404682c5ba9f6bcfd6b9; N7359bf70d59f4697955f8c1034312893; N38eb37eb6a2c4f1badf30f7f5e0822a4; Na4f6816345f146c3a5633f91d638e6a2; Nd05f9f73b30841cfb6f063ff10a1ca0c; N38215fd995ad482890d79ed8d25f3107; http://www.co-ode.org/ontologies/pizza/pizza.owl#OldPizzaStyle; N4003deca80064b5fb3303cf4f8f8e255; N94a84737377a49929b9c4194800bae2e; N5595a8d507a04fd9b6a90a8413939212; N2cd47fceda394dd281991962152ce536; Nc878ce43cadb43789cd194268e7dfe10; N559bb3b2cfeb433fb83276a853e7f01e; N02f1491ccf144a6aa667a3009b1291dc; Ne1bdfea56ede44888acf5c15bb111683,,47,pizza_owl
Understandability,U1,"Human-readable labelling of classes, properties and entities as well as presence of metadata",0.0,Properties should contain a label,Human readable labels in properties,count,1 - (Number of violations / Number of properties),,LabelForProperties,ex:LabelForPropertiesShape\n\ta sh:NodeShape ;\n\tsh:targetClass rdf:Property;\n\tsh:property [\n\t\tsh:path rdfs:label; sh:minCount 1;\n\t].,http://www.co-ode.org/ontologies/pizza/pizza.owl#bakingMonth; http://www.co-ode.org/ontologies/pizza/pizza.owl#isDifferentFrom; http://www.co-ode.org/ontologies/pizza/pizza.owl#hasTopping; http://www.co-ode.org/ontologies/pizza/pizza.owl#hasBase; http://www.co-ode.org/ontologies/pizza/pizza.owl#isIngredientOf; http://www.co-ode.org/ontologies/pizza/pizza.owl#isToppingOf; http://www.co-ode.org/ontologies/pizza/pizza.owl#hasSpiciness; http://www.co-ode.org/ontologies/pizza/pizza.owl#bakedAt; http://www.co-ode.org/ontologies/pizza/pizza.owl#hasDoubleRating; http://www.co-ode.org/ontologies/pizza/pizza.owl#madeIn; http://www.co-ode.org/ontologies/pizza/pizza.owl#hasFloatScore; http://www.co-ode.org/ontologies/pizza/pizza.owl#cookedDate; http://www.co-ode.org/ontologies/pizza/pizza.owl#oldToppingProperty; http://www.co-ode.org/ontologies/pizza/pizza.owl#resourceProperty; http://www.co-ode.org/ontologies/pizza/pizza.owl#bakingDay; http://www.co-ode.org/ontologies/pizza/pizza.owl#hasIngredient; http://www.co-ode.org/ontologies/pizza/pizza.owl#madeBy; http://www.co-ode.org/ontologies/pizza/pizza.owl#spicinessLevel; http://www.co-ode.org/ontologies/pizza/pizza.owl#thingDomainProperty; http://www.co-ode.org/ontologies/pizza/pizza.owl#hasCountryOfOrigin; http://www.co-ode.org/ontologies/pizza/pizza.owl#literalProperty; http://www.co-ode.org/ontologies/pizza/pizza.owl#thingProperty; http://www.co-ode.org/ontologies/pizza/pizza.owl#bakingYear; http://www.co-ode.org/ontologies/pizza/pizza.owl#AuxPropertyNoLabel; http://www.co-ode.org/ontologies/pizza/pizza.owl#isBaseOf,,25,pizza_owl
Interpretability,ITP3,Invalid usage of undefined classes and properties,0.7391304347826086,,Verifies that the properties used in the dataset are defined in the vocabulary.,binary,"1 if the property is defined, 0 otherwise",Number of defined properties (from the vocabulary) used / Number of properties (from the vocabulary) used in the dataset,UndefinedPropertyShape,ex:UndefinedPropertyShape\n\ta sh:NodeShape ;\n\tsh:targetNode PROPERTY_URI;\n\tsh:property [\n\t\tsh:path rdf:type;\n\t\tsh:hasValue rdf:Property;\n\t\tsh:minCount 1;\n\t].,http://www.co-ode.org/ontologies/pizza/pizza.owl#NonVegetarianPizza; http://www.co-ode.org/ontologies/pizza/pizza.owl#isVegetarian; http://www.co-ode.org/ontologies/pizza/pizza.owl#Store; http://www.co-ode.org/ontologies/pizza/pizza.owl#oldProperty; http://www.co-ode.org/ontologies/pizza/pizza.owl#price; http://www.co-ode.org/ontologies/pizza/pizza.owl#undefinedToppingProperty,undefined properties,6,pizza_owl
Interpretability,ITP3,Invalid usage of undefined classes and properties,0.6666666666666666,,Verifies that the classes used in the dataset are defined in the vocabulary.,binary,"1 if the class is defined, 0 otherwise",Number of defined classes (from the vocabulary) used / Number of classes (from the vocabulary) used in the dataset,UndefinedClassShape,ex:UndefinedClassShape\n\ta sh:NodeShape ;\n\tsh:targetNode CLASS_URI;\n\tsh:property [\n\t\tsh:path rdf:type;\n\t\tsh:hasValue rdfs:Class;\n\t\tsh:minCount 1;\n\t].,http://www.co-ode.org/ontologies/pizza/pizza.owl#hasIngredient; http://www.co-ode.org/ontologies/pizza/pizza.owl#SpiceLevel; http://www.co-ode.org/ontologies/pizza/pizza.owl#UndefinedPizzaClass; http://www.co-ode.org/ontologies/pizza/pizza.owl#UndefClass,undefined classes,4,pizza_owl
